01/01/2024,LACTO B,TEMPRA DROPS,GPU SEREH 30 ML,,,,,,,,,,,
01/01/2024,BIOMEGA,RENADINAC 50 MG,ASAM MEF (NOVA),DEXAMETHASONE GENERIK,,,,,,,,,,
01/01/2024,TERMOREX PLUS 30 ML,MKP CAP LANG 15 ML,LAMBUCID SY 60ML,KELLY LEMON 75 GR,ANDALAN PIL KB,,,,,,,,,
01/01/2024,FAXIDENE 10 MG,"GRATAZONE 0,5 MG",OMERIC 300 MG,METFORMIN 500 MG,CAVIPLEX TAB,,,,,,,,,
01/01/2024,BEPANTHEN 10 GR,NEW DIATAB,,,,,,,,,,,,
01/01/2024,MICROLAX SUPP 5 ML,RL 500 ML (OTSU),,,,,,,,,,,,
01/01/2024,ANTASIDA SYR 60 ML (ERELA),MELOXICAM 15 MG (DEXA),"MOLACORT 0,75 MG",SUCRALFAT SY (DEXA),VOLTADEX 50 MG,DEXKETOPROFEN (NLB),LANSOPRAZOLE 30 MG (NULAB),METYL PRED 4 MG (NULAB),RANITIDIN 150 MG,,,,,
01/01/2024,MADU SUMBAWA PRIMA,SPASMINAL,CAVIPLEX TAB,,,,,,,,,,,
01/01/2024,VESPERUM,TRIANTA SY 60 ML,OBH COMBI PLUS 60 ML,NEURALGIN,YEKAPONS 500 MG,FARSIFEN PLUS TAB,SCOPMA PLUS,ANDALAN PIL KB,,,,,,
01/01/2024,DULCOLAX ISI 4,DEXTAFEN,GRAFIX,,,,,,,,,,,
01/01/2024,CATAFLAM 50 MG,LACTO B,ANACETINE SY 60 ML,,,,,,,,,,,
01/01/2024,ATORVASTATIN 20MG (FAHRENHEIT),"BISOPROLOL 2,5 MG",CLOPIDOGREL 75 MG (DEXA MEDIKA),TROMBO ASPILET,,,,,,,,,,
01/01/2024,GRAZEO 20 MG,GRATHEOS 50 MG,ALPARA TAB,,,,,,,,,,,
01/01/2024,LACTO B,VITABUMIN 60 ML,,,,,,,,,,,,
01/01/2024,PERBAN 10 CM (PAK),KASSA STERIL INDOLAB,,,,,,,,,,,,
01/01/2024,TIEH TA YAO GIN 30ML,"CAPTOPRIL 12,5 MG",KASSA STERIL INDOLAB,RIVANOL 100 ML,MEDIKLIN TR CR,ALPARA TAB,ACIFAR SALEP,PI KANG WANG,,,,,,
01/01/2024,POLDANMIG,OMEPRAZOLE 20 MG,,,,,,,,,,,,
01/01/2024,OMEPRAZOLE 20 MG,ALPARA TAB,,,,,,,,,,,,
01/01/2024,FLUTROP TAB,PAGODA PERMEN 20GR,,,,,,,,,,,,
01/01/2024,VOLTADEX 50 MG,PIROXICAM 20 MG CAPS,"DEXA-M 0,75 MG","NUFADEX M 0,75 MG",MECOBALAMIN 500 MG NOVEL,AMLODIPINE 10 MG (HJ),PIROXICAM 10 MG (TRIFA),,,,,,,
01/01/2024,ANTASIDA DOEN (ERELA),SIMVASTATIN 10 MG,BUFACARYL,METFORMIN 500 MG,RENADINAC 50 MG,"CARBIDU 0,5 MG",LICOSTAN 500 MG,ALOFAR 100 MG,KADITIC 50 MG,,,,,
01/01/2024,SARI KURMA 5-1,GLUDEPATIC 500 MG,,,,,,,,,,,,
01/01/2024,"MOLACORT 0,75 MG",KONIDIN TAB,BIROPYRON,RENADINAC 50 MG,,,,,,,,,,
